Weekday,Tournament,Location,Time,Result
Friday,Elite_League,H,Afternoon,R
Sunday,Cup,H,Evening,R
Sunday,Elite_League,A,Afternoon,R
Sunday,Elite_League,H,Evening,R
Saturday,Elite_League,A,Afternoon,V
Sunday,Elite_League,H,Afternoon,R
Sunday,Elite_League,H,Evening,R
Saturday,Elite_League,A,Afternoon,R
Sunday,Elite_League,H,Evening,R
Sunday,Elite_League,H,Afternoon,R
Friday,Elite_League,H,Evening,R
Sunday,Elite_League,A,Evening,V
Saturday,Elite_League,H,Afternoon,R
Sunday,Elite_League,A,Afternoon,R
Sunday,Elite_League,A,Evening,V
Saturday,Elite_League,H,Afternoon,V
